time,gFx,gFy,gFz,TgF
0.003108307,-0.0217,0.9767,0.1871,0.995
0.003753076,-0.0217,0.9748,0.1874,0.993
0.004008884,-0.0173,0.9728,0.1893,0.991
0.004301923,-0.0166,0.9721,0.1906,0.991
0.004537076,-0.0178,0.9701,0.1918,0.989
0.00477673,-0.0176,0.9694,0.1930,0.989
0.006875423,-0.0181,0.9679,0.1940,0.987
0.008836423,-0.0181,0.9670,0.1954,0.987
0.013854115,-0.0186,0.9677,0.1964,0.988
0.014629153,-0.0200,0.9687,0.1986,0.989
0.015089692,-0.0237,0.9692,0.2016,0.990
0.016647615,-0.0244,0.9692,0.2035,0.991
0.018606692,-0.0264,0.9706,0.2052,0.992
0.020511384,-0.0269,0.9714,0.2069,0.994
0.022426807,-0.0291,0.9719,0.2069,0.994
0.024426153,-0.0327,0.9716,0.2103,0.995
0.027437076,-0.0327,0.9716,0.2130,0.995
0.028761153,-0.0347,0.9711,0.2133,0.995
0.030509346,-0.0352,0.9704,0.2133,0.994
0.032502807,-0.0347,0.9689,0.2125,0.993
0.034410692,-0.0359,0.9694,0.2145,0.994
0.036425653,-0.0366,0.9687,0.2147,0.993
0.038295384,-0.0364,0.9675,0.2121,0.991
0.040255923,-0.0349,0.9677,0.2116,0.991
0.04236773,-0.0359,0.9665,0.2123,0.990
0.044619461,-0.0349,0.9684,0.2121,0.992
0.04635473,-0.0342,0.9697,0.2125,0.993
0.048413615,-0.0340,0.9701,0.2160,0.994
0.05023773,-0.0354,0.9694,0.2160,0.994
0.052225692,-0.0349,0.9689,0.2160,0.993
0.054076538,-0.0322,0.9709,0.2160,0.995
0.056254461,-0.0313,0.9711,0.2165,0.995
0.058213269,-0.0310,0.9701,0.2172,0.995
0.060791307,-0.0298,0.9679,0.2174,0.993
0.062014153,-0.0288,0.9670,0.2194,0.992
0.063950192,-0.0288,0.9667,0.2213,0.992
0.065931653,-0.0286,0.9679,0.2191,0.993
0.067927846,-0.0274,0.9675,0.2191,0.992
0.069847615,-0.0266,0.9670,0.2191,0.992
0.071762269,-0.0269,0.9670,0.2196,0.992
0.073904192,-0.0247,0.9657,0.2201,0.991
0.077250423,-0.0249,0.9643,0.2194,0.989
0.077837692,-0.0252,0.9643,0.2194,0.989
0.079711846,-0.0257,0.9660,0.2206,0.991
0.08167523,-0.0249,0.9660,0.2204,0.991
0.083770692,-0.0252,0.9655,0.2187,0.990
0.085628923,-0.0230,0.9660,0.2177,0.990
0.087558807,-0.0227,0.9667,0.2179,0.991
0.089563,-0.0230,0.9670,0.2184,0.992
0.091487846,-0.0252,0.9682,0.2177,0.993
0.101939153,-0.0252,0.9675,0.2177,0.992
0.102592961,-0.0235,0.9682,0.2177,0.993
0.102916038,-0.0222,0.9679,0.2182,0.992
0.103204923,-0.0222,0.9684,0.2172,0.993
0.103485807,-0.0220,0.9704,0.2169,0.995
0.103751538,-0.0215,0.9709,0.2162,0.995
0.105282115,-0.0217,0.9711,0.2152,0.995
0.107273423,-0.0220,0.9711,0.2167,0.995
0.110602115,-0.0220,0.9711,0.2162,0.995
0.111224269,-0.0235,0.9711,0.2135,0.995
0.113306807,-0.0225,0.9711,0.2121,0.994
0.115488846,-0.0227,0.9706,0.2118,0.994
0.117378499,-0.0259,0.9714,0.2138,0.995
0.11927623,-0.0257,0.9711,0.2135,0.995
0.121193769,-0.0254,0.9709,0.2106,0.994
0.123181153,-0.0264,0.9721,0.2089,0.995
0.125607769,-0.0279,0.9714,0.2055,0.993
0.135509692,-0.0293,0.9733,0.2055,0.995
0.136331307,-0.0286,0.9733,0.2047,0.995
0.136729269,-0.0276,0.9736,0.2045,0.995
0.137059999,-0.0279,0.9760,0.2055,0.998
0.137396346,-0.0288,0.9762,0.2062,0.998
0.137737269,-0.0300,0.9755,0.2074,0.998
0.138973884,-0.0305,0.9750,0.2072,0.997
0.140936769,-0.0308,0.9750,0.2077,0.997
0.144215653,-0.0313,0.9753,0.2055,0.997
0.144856999,-0.0313,0.9767,0.2055,0.999
0.146873423,-0.0305,0.9767,0.2067,0.999
0.148918115,-0.0320,0.9760,0.2072,0.998
0.150796807,-0.0310,0.9762,0.2072,0.998
0.15278073,-0.0318,0.9762,0.2072,0.998
0.154737576,-0.0320,0.9753,0.2062,0.997
0.156711807,-0.0308,0.9770,0.2074,0.999
0.15861873,-0.0298,0.9782,0.2062,1.000
0.160920384,-0.0305,0.9792,0.2067,1.001
0.162670461,-0.0303,0.9802,0.2074,1.002
0.164734153,-0.0313,0.9789,0.2079,1.001
0.166601807,-0.0315,0.9789,0.2094,1.002
0.16866123,-0.0310,0.9772,0.2086,1.000
0.170580807,-0.0303,0.9762,0.2101,0.999
0.172564153,-0.0303,0.9775,0.2111,1.000
0.174573115,-0.0305,0.9784,0.2113,1.001
0.185445961,-0.0300,0.9782,0.2113,1.001
0.186046999,-0.0313,0.9787,0.2125,1.002
0.186367423,-0.0330,0.9792,0.2138,1.003
0.186663923,-0.0318,0.9789,0.2157,1.003
0.186928423,-0.0310,0.9787,0.2143,1.002
0.187183884,-0.0298,0.9784,0.2140,1.002
0.188436538,-0.0288,0.9775,0.2145,1.001
0.190336923,-0.0291,0.9770,0.2135,1.000
0.19256673,-0.0288,0.9753,0.2140,0.999
0.194547961,-0.0274,0.9745,0.2128,0.998
0.196501538,-0.0271,0.9740,0.2133,0.997
0.198633692,-0.0271,0.9723,0.2133,0.996
0.200420346,-0.0276,0.9728,0.2133,0.996
0.202292423,-0.0286,0.9726,0.2133,0.996
0.204594576,-0.0283,0.9701,0.2125,0.994
0.206526038,-0.0291,0.9704,0.2128,0.994
0.208264923,-0.0298,0.9716,0.2135,0.995
0.211971999,-0.0296,0.9731,0.2123,0.996
0.212643192,-0.0288,0.9719,0.2123,0.995
0.214074269,-0.0318,0.9719,0.2147,0.996
0.216944922,-0.0300,0.9714,0.2130,0.995
0.217973038,-0.0293,0.9733,0.2130,0.997
0.219857115,-0.0288,0.9736,0.2133,0.997
0.221878653,-0.0288,0.9736,0.2133,0.997
0.223825922,-0.0279,0.9736,0.2140,0.997
0.225734115,-0.0286,0.9760,0.2125,0.999
0.227801076,-0.0286,0.9760,0.2116,0.999
0.229703653,-0.0264,0.9765,0.2116,0.999
0.231818307,-0.0269,0.9760,0.2128,0.999
0.233853346,-0.0266,0.9780,0.2118,1.001
0.235663961,-0.0259,0.9777,0.2118,1.001
0.237572692,-0.0259,0.9777,0.2121,1.001
0.239572076,-0.0271,0.9780,0.2123,1.001
0.241462346,-0.0271,0.9777,0.2118,1.001
0.24386323,-0.0269,0.9789,0.2113,1.002
0.246092999,-0.0259,0.9804,0.2108,1.003
0.247519807,-0.0249,0.9792,0.2108,1.002
0.249508884,-0.0244,0.9784,0.2123,1.002
0.251344807,-0.0281,0.9777,0.2133,1.001
0.253273269,-0.0286,0.9767,0.2143,1.000
0.255299153,-0.0252,0.9760,0.2150,1.000
0.257247846,-0.0235,0.9762,0.2147,1.000
0.259241846,-0.0232,0.9745,0.2125,0.998
0.261429807,-0.0232,0.9733,0.2128,0.997
0.263225422,-0.0220,0.9736,0.2106,0.996
0.265240422,-0.0200,0.9745,0.2096,0.997
0.267137038,-0.0183,0.9728,0.2118,0.996
0.269059038,-0.0181,0.9721,0.2121,0.995
0.271037384,-0.0213,0.9711,0.2101,0.994
0.272996076,-0.0213,0.9709,0.2106,0.994
0.274985307,-0.0222,0.9714,0.2096,0.994
0.279974576,-0.0227,0.9694,0.2106,0.992
0.280547999,-0.0222,0.9689,0.2106,0.992
0.280866153,-0.0249,0.9701,0.2128,0.994
0.283066038,-0.0244,0.9701,0.2128,0.994
0.284957769,-0.0252,0.9689,0.2135,0.992
0.287308153,-0.0269,0.9699,0.2140,0.994
0.288918422,-0.0259,0.9694,0.2143,0.993
0.290924461,-0.0259,0.9677,0.2147,0.992
0.292758153,-0.0261,0.9675,0.2165,0.992
0.294792076,-0.0266,0.9675,0.2167,0.992
0.296734115,-0.0259,0.9670,0.2162,0.991
0.298847576,-0.0259,0.9677,0.2165,0.992
0.301813653,-0.0254,0.9682,0.2143,0.992
0.302525846,-0.0252,0.9692,0.2111,0.992
0.304552115,-0.0239,0.9689,0.2091,0.992
0.306517961,-0.0247,0.9677,0.2033,0.989
0.308462615,-0.0239,0.9675,0.2003,0.988
0.31066123,-0.0242,0.9679,0.1994,0.989
0.312633846,-0.0257,0.9657,0.1957,0.986
0.314622961,-0.0257,0.9657,0.1952,0.986
0.316525769,-0.0261,0.9643,0.1969,0.985
0.318482576,-0.0288,0.9645,0.1962,0.985
0.320435769,-0.0283,0.9645,0.1957,0.985
0.322370422,-0.0283,0.9645,0.1974,0.985
0.324423845,-0.0279,0.9660,0.1979,0.986
0.327192653,-0.0274,0.9648,0.1974,0.985
0.328526961,-0.0274,0.9648,0.1991,0.985
0.330425115,-0.0298,0.9640,0.2008,0.985
0.332373653,-0.0298,0.9635,0.1996,0.984
0.334291884,-0.0291,0.9650,0.2013,0.986
0.336253807,-0.0286,0.9657,0.2030,0.987
0.338187999,-0.0293,0.9660,0.2079,0.989
0.340246422,-0.0296,0.9662,0.2169,0.991
0.342162961,-0.0281,0.9667,0.2216,0.992
0.34438073,-0.0264,0.9667,0.2292,0.994
0.346335076,-0.0254,0.9662,0.2316,0.994
0.348243076,-0.0254,0.9655,0.2380,0.995
0.350148461,-0.0244,0.9667,0.2424,0.997
0.352089422,-0.0242,0.9670,0.2441,0.998
0.354057922,-0.0242,0.9682,0.2455,0.999
0.355978576,-0.0222,0.9684,0.2450,0.999
0.357990461,-0.0230,0.9694,0.2448,1.000
0.361100807,-0.0239,0.9670,0.2446,0.998
0.362830038,-0.0249,0.9677,0.2438,0.998
0.363889038,-0.0264,0.9697,0.2438,1.000
0.365984922,-0.0283,0.9689,0.2419,0.999
0.367868384,-0.0300,0.9682,0.2399,0.998
0.369800422,-0.0315,0.9689,0.2328,0.997
0.371730538,-0.0322,0.9687,0.2289,0.996
0.373755307,-0.0330,0.9694,0.2179,0.994
0.375678692,-0.0340,0.9679,0.2094,0.991
0.381126076,-0.0342,0.9679,0.2045,0.990
0.382042269,-0.0352,0.9667,0.1959,0.987
0.38257223,-0.0364,0.9660,0.1884,0.985
0.383832153,-0.0366,0.9655,0.1852,0.984
0.385777499,-0.0369,0.9638,0.1815,0.981
0.387620422,-0.0369,0.9640,0.1813,0.982
0.389589807,-0.0352,0.9633,0.1830,0.981
0.391852845,-0.0340,0.9616,0.1830,0.979
0.395961499,-0.0337,0.9601,0.1852,0.978
0.396780884,-0.0337,0.9599,0.1925,0.980
0.397452269,-0.0322,0.9606,0.1952,0.981
0.399676845,-0.0318,0.9587,0.2018,0.980
0.401436769,-0.0300,0.9589,0.2103,0.982
0.403359269,-0.0298,0.9582,0.2150,0.982
0.405392345,-0.0291,0.9565,0.2250,0.983
0.407304076,-0.0305,0.9572,0.2345,0.986
0.409297576,-0.0305,0.9567,0.2382,0.986
0.411525961,-0.0283,0.9572,0.2443,0.988
0.413484653,-0.0269,0.9569,0.2470,0.989
0.415446153,-0.0244,0.9577,0.2516,0.990
0.417398961,-0.0225,0.9587,0.2538,0.992
0.419249192,-0.0203,0.9594,0.2548,0.993
0.421166999,-0.0198,0.9591,0.2529,0.992
0.423157615,-0.0200,0.9609,0.2509,0.993
0.425165153,-0.0200,0.9621,0.2494,0.994
0.427816692,-0.0176,0.9643,0.2446,0.995
0.429230884,-0.0178,0.9655,0.2428,0.996
0.431265192,-0.0181,0.9679,0.2389,0.997
0.433135884,-0.0171,0.9706,0.2343,0.999
0.435001153,-0.0181,0.9706,0.2318,0.998
0.436990192,-0.0193,0.9716,0.2294,0.999
0.43893523,-0.0188,0.9716,0.2279,0.998
0.440980038,-0.0191,0.9716,0.2267,0.998
0.442950461,-0.0186,0.9723,0.2248,0.998
0.445037807,-0.0186,0.9723,0.2250,0.998
0.446976384,-0.0164,0.9711,0.2248,0.997
0.449002576,-0.0154,0.9723,0.2240,0.998
0.450813038,-0.0142,0.9738,0.2235,0.999
0.452778961,-0.0139,0.9738,0.2213,0.999
0.454724461,-0.0142,0.9731,0.2211,0.998
0.456753153,-0.0122,0.9728,0.2213,0.998
0.458672961,-0.0083,0.9723,0.2216,0.997
0.461676768,-0.0076,0.9728,0.2233,0.998
0.463287961,-0.0068,0.9745,0.2226,1.000
0.46478873,-0.0064,0.9748,0.2213,1.000
0.46669573,-0.0068,0.9748,0.2218,1.000
0.468683576,-0.0051,0.9745,0.2233,1.000
0.470605692,-0.0051,0.9740,0.2226,0.999
0.472584422,-0.0046,0.9760,0.2206,1.001
0.474506692,-0.0046,0.9765,0.2196,1.001
0.476617153,-0.0049,0.9770,0.2194,1.001
0.48204973,-0.0056,0.9784,0.2187,1.003
0.482707192,-0.0042,0.9794,0.2177,1.003
0.483023268,-0.0044,0.9782,0.2172,1.002
0.48521223,-0.0049,0.9794,0.2172,1.003
0.486600038,-0.0046,0.9792,0.2162,1.003
0.490441422,-0.0039,0.9811,0.2160,1.005
0.491015384,-0.0059,0.9806,0.2162,1.004
0.492498538,-0.0071,0.9804,0.2169,1.004
0.494332038,-0.0068,0.9806,0.2150,1.004
0.496402922,-0.0071,0.9799,0.2138,1.003
0.498280076,-0.0095,0.9814,0.2128,1.004
0.500275268,-0.0100,0.9802,0.2125,1.003
0.502051807,-0.0093,0.9802,0.2128,1.003
0.504110922,-0.0105,0.9797,0.2123,1.002
0.506214768,-0.0100,0.9784,0.2108,1.001
0.50809823,-0.0098,0.9775,0.2089,1.000
0.510291038,-0.0142,0.9770,0.2084,0.999
0.512138922,-0.0134,0.9772,0.2081,0.999
0.514149307,-0.0134,0.9765,0.2069,0.998
0.515978038,-0.0132,0.9750,0.2033,0.996
0.517964192,-0.0139,0.9753,0.2025,0.996
0.519702845,-0.0166,0.9767,0.1994,0.997
0.521958845,-0.0178,0.9767,0.1986,0.997
0.523746345,-0.0164,0.9753,0.1976,0.995
0.525943384,-0.0171,0.9750,0.1962,0.995
0.528301615,-0.0171,0.9750,0.1964,0.995
0.530360576,-0.0178,0.9745,0.1974,0.994
0.531630038,-0.0193,0.9743,0.1986,0.995
0.533464268,-0.0203,0.9753,0.1957,0.995
0.535439845,-0.0210,0.9762,0.1959,0.996
0.537697691,-0.0210,0.9762,0.1962,0.996
0.539485884,-0.0213,0.9782,0.1976,0.998
0.541524461,-0.0208,0.9784,0.1984,0.999
0.543476384,-0.0213,0.9794,0.1984,1.000
0.545469422,-0.0205,0.9802,0.2003,1.001
0.547409922,-0.0208,0.9809,0.2011,1.002
0.549362153,-0.0220,0.9811,0.2040,1.002
0.551442884,-0.0239,0.9826,0.2064,1.004
0.553246615,-0.0235,0.9831,0.2084,1.005
0.555324115,-0.0252,0.9828,0.2108,1.006
0.557352076,-0.0254,0.9841,0.2123,1.007
0.559282884,-0.0247,0.9858,0.2128,1.009
0.562953768,-0.0254,0.9868,0.2145,1.010
0.563446076,-0.0264,0.9863,0.2138,1.010
0.565084576,-0.0266,0.9855,0.2133,1.009
0.566905922,-0.0271,0.9865,0.2128,1.010
0.569136038,-0.0276,0.9855,0.2125,1.009
0.570850653,-0.0257,0.9853,0.2133,1.008
0.573413999,-0.0257,0.9858,0.2116,1.009
0.574940038,-0.0257,0.9860,0.2084,1.008
0.57737073,-0.0252,0.9863,0.2081,1.008
0.579488691,-0.0271,0.9836,0.2067,1.005
0.580898153,-0.0296,0.9826,0.2050,1.004
0.582780345,-0.0305,0.9811,0.2045,1.003
0.585211576,-0.0318,0.9806,0.2030,1.002
0.586679615,-0.0313,0.9806,0.2020,1.002
0.589177768,-0.0315,0.9799,0.2025,1.001
0.590894884,-0.0337,0.9775,0.2013,0.999
0.593217999,-0.0349,0.9775,0.2001,0.998
0.598338153,-0.0369,0.9748,0.1974,0.995
0.59900723,-0.0410,0.9740,0.1962,0.994
0.59930823,-0.0413,0.9728,0.1964,0.993
0.600611807,-0.0423,0.9731,0.1967,0.994
0.605505461,-0.0442,0.9709,0.1976,0.992
0.60608323,-0.0445,0.9697,0.1979,0.991
0.606882884,-0.0440,0.9677,0.1986,0.989
0.618552345,-0.0428,0.9675,0.1996,0.989
0.619486268,-0.0425,0.9667,0.2006,0.988
0.619919653,-0.0442,0.9650,0.2045,0.987
0.620416307,-0.0430,0.9635,0.2057,0.986
0.620832576,-0.0437,0.9638,0.2086,0.987
0.621244268,-0.0410,0.9623,0.2113,0.986
0.621651153,-0.0398,0.9613,0.2123,0.985
0.623024653,-0.0386,0.9618,0.2135,0.986
0.624508922,-0.0396,0.9616,0.2152,0.986
0.62639423,-0.0388,0.9635,0.2157,0.988
0.62920373,-0.0381,0.9638,0.2155,0.988
0.630491691,-0.0376,0.9635,0.2147,0.988
0.632563307,-0.0347,0.9640,0.2152,0.988
0.634448922,-0.0322,0.9655,0.2169,0.990
0.636826076,-0.0315,0.9655,0.2165,0.990
0.638460538,-0.0322,0.9672,0.2169,0.992
0.640312922,-0.0303,0.9672,0.2172,0.992
0.642523614,-0.0266,0.9684,0.2174,0.993
0.647545153,-0.0252,0.9697,0.2199,0.995
0.648554538,-0.0239,0.9701,0.2206,0.995
0.649328576,-0.0222,0.9706,0.2218,0.996
0.650144845,-0.0215,0.9719,0.2216,0.997
0.656683076,-0.0208,0.9721,0.2221,0.997
0.657479614,-0.0195,0.9738,0.2243,0.999
0.658200114,-0.0200,0.9743,0.2253,1.000
0.658941384,-0.0198,0.9760,0.2267,1.002
0.660354845,-0.0173,0.9772,0.2274,1.003
0.664731499,-0.0169,0.9770,0.2262,1.003
0.666169691,-0.0186,0.9772,0.2253,1.003
0.668245114,-0.0193,0.9780,0.2257,1.004
0.669220345,-0.0191,0.9767,0.2260,1.003
0.67024273,-0.0186,0.9772,0.2265,1.003
0.671892884,-0.0183,0.9772,0.2260,1.003
0.674091768,-0.0193,0.9770,0.2245,1.003
0.675813153,-0.0225,0.9770,0.2233,1.002
0.680306961,-0.0222,0.9760,0.2223,1.001
0.68186223,-0.0230,0.9740,0.2213,0.999
0.683071038,-0.0232,0.9726,0.2201,0.997
0.684350191,-0.0257,0.9706,0.2165,0.995
0.688846961,-0.0257,0.9706,0.2118,0.994
0.689969076,-0.0264,0.9706,0.2108,0.994
0.69075373,-0.0249,0.9692,0.2094,0.992
0.691850153,-0.0249,0.9687,0.2084,0.991
0.694067153,-0.0242,0.9672,0.2060,0.989
0.704370499,-0.0244,0.9667,0.2030,0.988
0.705938922,-0.0225,0.9662,0.2016,0.987
0.706984191,-0.0217,0.9648,0.1994,0.985
0.708191384,-0.0220,0.9665,0.1976,0.987
0.709189191,-0.0215,0.9660,0.1984,0.986
0.710420807,-0.0213,0.9653,0.1981,0.986
0.711981538,-0.0205,0.9657,0.1984,0.986
0.71279523,-0.0203,0.9667,0.1964,0.987
0.713378384,-0.0176,0.9655,0.1996,0.986
0.713683538,-0.0173,0.9657,0.1986,0.986
0.72829873,-0.0178,0.9653,0.2006,0.986
0.729148191,-0.0159,0.9660,0.2023,0.987
0.72948673,-0.0159,0.9662,0.2042,0.988
0.729780768,-0.0161,0.9660,0.2047,0.988
0.730068076,-0.0161,0.9655,0.2060,0.987
0.730342538,-0.0154,0.9653,0.2072,0.987
0.730622114,-0.0144,0.9640,0.2064,0.986
0.731938614,-0.0142,0.9657,0.2047,0.987
0.732489114,-0.0156,0.9655,0.2055,0.987
0.732867114,-0.0159,0.9657,0.2047,0.987
0.735132653,-0.0159,0.9670,0.2030,0.988
0.738334961,-0.0144,0.9675,0.2023,0.988
0.738886961,-0.0142,0.9667,0.2023,0.988
0.741072038,-0.0125,0.9665,0.1998,0.987
0.742959576,-0.0117,0.9670,0.2003,0.988
0.746204461,-0.0107,0.9675,0.1994,0.988
0.74698523,-0.0110,0.9660,0.1986,0.986
0.748827884,-0.0117,0.9657,0.1979,0.986
0.750788461,-0.0105,0.9677,0.1957,0.987
0.752985345,-0.0105,0.9684,0.1923,0.987
0.754673653,-0.0120,0.9684,0.1915,0.987
0.756809384,-0.0122,0.9714,0.1915,0.990
0.758977307,-0.0125,0.9714,0.1915,0.990
0.760891691,-0.0120,0.9726,0.1915,0.991
0.764947307,-0.0147,0.9731,0.1910,0.992
0.765674191,-0.0164,0.9743,0.1898,0.993
0.76657423,-0.0183,0.9740,0.1893,0.992
0.768722884,-0.0181,0.9758,0.1903,0.994
0.77043423,-0.0191,0.9753,0.1888,0.994
0.772614845,-0.0208,0.9775,0.1896,0.996
0.774706653,-0.0205,0.9784,0.1898,0.997
0.776686653,-0.0220,0.9797,0.1886,0.998
0.780578768,-0.0237,0.9806,0.1881,0.999
0.781275461,-0.0242,0.9814,0.1881,1.000
0.782245037,-0.0257,0.9816,0.1879,1.000
0.784493384,-0.0281,0.9833,0.1884,1.002
0.786415614,-0.0283,0.9846,0.1896,1.003
0.788404576,-0.0300,0.9870,0.1896,1.005
0.790305999,-0.0313,0.9863,0.1893,1.005
0.792090422,-0.0313,0.9858,0.1908,1.005
0.794323345,-0.0332,0.9870,0.1913,1.006
0.799067922,-0.0332,0.9868,0.1915,1.006
0.799749384,-0.0335,0.9877,0.1923,1.007
0.800653576,-0.0322,0.9880,0.1964,1.008
0.802279691,-0.0330,0.9872,0.1976,1.007
0.804889768,-0.0347,0.9868,0.1964,1.007
0.806394076,-0.0332,0.9870,0.1979,1.007
0.808735845,-0.0318,0.9877,0.2016,1.009
0.818263537,-0.0298,0.9887,0.2047,1.010
0.818951307,-0.0291,0.9887,0.2047,1.010
0.819210191,-0.0286,0.9877,0.2064,1.009
0.819447499,-0.0271,0.9863,0.2072,1.008
0.819689307,-0.0261,0.9853,0.2067,1.007
0.820463537,-0.0259,0.9858,0.2077,1.008
0.823786191,-0.0244,0.9858,0.2074,1.008
0.824103884,-0.0230,0.9846,0.2062,1.006
0.825741922,-0.0232,0.9821,0.2055,1.004
0.829100422,-0.0217,0.9799,0.2052,1.001
0.829782345,-0.0215,0.9784,0.2038,1.000
0.831966999,-0.0215,0.9775,0.2035,0.999
0.833629345,-0.0213,0.9760,0.2023,0.997
0.835574884,-0.0232,0.9753,0.2020,0.996
0.837711961,-0.0227,0.9733,0.2013,0.994
0.839485461,-0.0227,0.9716,0.1996,0.992
0.841571076,-0.0244,0.9723,0.1986,0.993
0.843416037,-0.0247,0.9714,0.1976,0.992
0.846353076,-0.0264,0.9704,0.1967,0.990
0.847547499,-0.0274,0.9699,0.1972,0.990
0.849513191,-0.0300,0.9701,0.1969,0.990
0.851451999,-0.0332,0.9704,0.1969,0.991
0.853394884,-0.0354,0.9694,0.1969,0.990
0.855404768,-0.0376,0.9704,0.1981,0.991
0.85743446,-0.0384,0.9709,0.1998,0.992
0.859452268,-0.0391,0.9701,0.2013,0.992
0.864387499,-0.0403,0.9706,0.2038,0.993
0.865317576,-0.0396,0.9706,0.2033,0.992
0.865837999,-0.0388,0.9711,0.2028,0.993
0.867351114,-0.0393,0.9721,0.2040,0.994
0.86952196,-0.0386,0.9719,0.2033,0.994
0.871439576,-0.0384,0.9704,0.2033,0.992
0.873256153,-0.0386,0.9689,0.2038,0.991
0.875138037,-0.0369,0.9692,0.2033,0.991
0.877366345,-0.0376,0.9701,0.2018,0.992
0.880448691,-0.0379,0.9714,0.2006,0.993
0.881506037,-0.0388,0.9701,0.1994,0.991
0.883421614,-0.0403,0.9701,0.2030,0.992
0.885685768,-0.0410,0.9711,0.2047,0.993
0.886979922,-0.0428,0.9728,0.2079,0.996
0.889383807,-0.0425,0.9721,0.2089,0.995
0.89215096,-0.0425,0.9719,0.2079,0.995
0.893065999,-0.0445,0.9719,0.2086,0.995
0.900222422,-0.0457,0.9728,0.2077,0.996
0.901025845,-0.0457,0.9740,0.2060,0.997
0.90142223,-0.0454,0.9758,0.2033,0.998
0.901761999,-0.0454,0.9782,0.2013,1.000
0.904305307,-0.0447,0.9775,0.1959,0.998
0.904928384,-0.0457,0.9780,0.1923,0.998
0.90728323,-0.0481,0.9775,0.1864,0.996
0.908829614,-0.0491,0.9787,0.1805,0.996
0.910958537,-0.0503,0.9789,0.1788,0.996
0.926288922,-0.0577,0.9858,0.1652,1.001
0.927063114,-0.0579,0.9860,0.1583,1.000
0.927387537,-0.0567,0.9762,0.1786,0.994
0.92767996,-0.0564,0.9679,0.1932,0.989
0.927959653,-0.0557,0.9653,0.1942,0.986
0.928318191,-0.0520,0.9606,0.1942,0.981
0.92857196,-0.0498,0.9579,0.1888,0.978
0.928827614,-0.0496,0.9577,0.1845,0.977
0.929093307,-0.0496,0.9616,0.1713,0.978
0.936272999,-0.0481,0.9638,0.1659,0.979
0.937195422,-0.0474,0.9706,0.1554,0.984
0.93757023,-0.0479,0.9750,0.1527,0.988
0.93786396,-0.0452,0.9782,0.1522,0.991
0.938710153,-0.0391,0.9802,0.1546,0.993
0.940712576,-0.0340,0.9819,0.1617,0.996
0.942592499,-0.0308,0.9814,0.1673,0.996
0.944755037,-0.0261,0.9789,0.1793,0.996
0.947654384,-0.0242,0.9782,0.1842,0.996
0.948869345,-0.0193,0.9758,0.1967,0.996
0.95051523,-0.0173,0.9758,0.2057,0.997
0.952534037,-0.0154,0.9782,0.2089,1.000
0.954414768,-0.0132,0.9777,0.2121,1.001
0.956238037,-0.0103,0.9777,0.2125,1.001
0.958333537,-0.0095,0.9799,0.2103,1.002
0.960217345,-0.0056,0.9809,0.2055,1.002
0.963494845,-0.0037,0.9806,0.2038,1.002
0.964353422,-0.0020,0.9802,0.1967,1.000
0.966181576,-0.0012,0.9806,0.1898,0.999
0.96815373,-0.0022,0.9797,0.1867,0.997
0.970060576,-0.0044,0.9799,0.1791,0.996
0.972214345,-0.0056,0.9806,0.1752,0.996
0.974297883,-0.0064,0.9819,0.1666,0.996
0.975939807,-0.0093,0.9826,0.1586,0.995
0.978295691,-0.0103,0.9838,0.1546,0.996
0.983022653,-0.0127,0.9838,0.1456,0.995
0.983799614,-0.0154,0.9843,0.1385,0.994
0.984208422,-0.0156,0.9831,0.1356,0.993
0.986228307,-0.0169,0.9833,0.1329,0.992
0.98782496,-0.0176,0.9831,0.1305,0.992
0.990198268,-0.0173,0.9826,0.1319,0.992
0.991859191,-0.0178,0.9824,0.1331,0.991
0.993838845,-0.0178,0.9819,0.1349,0.991
0.999726883,-0.0195,0.9824,0.1395,0.992
1.000568268,-0.0178,0.9826,0.1432,0.993
1.000886191,-0.0169,0.9833,0.1493,0.995
1.00166023,-0.0154,0.9824,0.1561,0.995
1.00879973,-0.0156,0.9816,0.1608,0.995
1.009251153,-0.0139,0.9819,0.1681,0.996
1.009513576,-0.0120,0.9831,0.1759,0.999
1.009843883,-0.0110,0.9833,0.1783,0.999
1.020454807,-0.0115,0.9841,0.1837,1.001
1.021082422,-0.0115,0.9848,0.1867,1.002
1.02135246,-0.0122,0.9863,0.1898,1.004
1.021603691,-0.0127,0.9877,0.1903,1.006
1.021841499,-0.0125,0.9887,0.1910,1.007
1.022103114,-0.0110,0.9899,0.1898,1.008
1.023060883,-0.0112,0.9909,0.1886,1.009
1.025738191,-0.0110,0.9916,0.1874,1.009
1.027081576,-0.0100,0.9955,0.1835,1.012
1.030152807,-0.0100,0.9958,0.1808,1.012
1.031065922,-0.0112,0.9960,0.1759,1.012
1.033172845,-0.0095,0.9970,0.1730,1.012
1.035064422,-0.0098,0.9982,0.1710,1.013
1.036998076,-0.0129,1.0002,0.1695,1.015
1.039048383,-0.0142,1.0019,0.1688,1.016
1.041134191,-0.0156,1.0029,0.1671,1.017
1.043886422,-0.0193,1.0019,0.1664,1.016
1.048783499,-0.0205,1.0029,0.1659,1.017
1.04944423,-0.0215,1.0039,0.1649,1.018
1.049701499,-0.0225,1.0021,0.1661,1.016
1.052180076,-0.0225,1.0021,0.1654,1.016
1.053139922,-0.0227,1.0002,0.1656,1.014
